國別地區,中文片名,上映日期,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
美國,詭老,2021/07/30,5,498,"39,609","16,325","3,892,433"
美國,厲陰宅3：是惡魔逼我的,2021/07/22,4,279,"19,181","53,988","13,648,050"
香港,手捲煙,2021/07/22,2,63,"4,570","1,005","194,393"
美國,失控的審判,2021/07/14,3,232,"21,316","2,579","469,803"
美國,黑寡婦,2021/07/14,3,51,"12,674","185,382","47,545,610"
法國,野蠻糾碴隊,2021/07/14,1,53,"4,670",319,"59,896"
中華民國,綠色牢籠,2021/05/14,14,444,"97,946","1,012","222,998"
挪威,女畫家與偷畫賊,2021/05/14,7,112,"25,540","1,650","350,205"
中華民國,癡情馬殺雞,2021/05/12,6,71,"11,410",124,"19,360"
美國,死亡漩渦：奪魂鋸新遊戲,2021/05/12,1,93,"5,115","16,176","3,795,360"
美國,操控,2021/05/07,2,51,"4,125","7,839","1,730,619"
英國,永遠的我們,2021/05/07,1,27,"2,410","2,236","486,367"
美國,那些要我死的人,2021/05/06,2,162,"9,480","33,836","7,700,097"
法國,大獵逃,2021/04/30,1,62,"3,410","1,161","228,649"
南韓,迴憶,2021/04/29,1,63,"5,670","23,654","5,550,325"
美國,一級任務,2021/04/29,1,42,"4,170","6,988","1,478,687"
美國,夢想之地,2021/04/23,4,276,"17,474","20,816","4,717,708"
日本,電影版 嬌妻出沒注意,2021/04/23,1,55,"3,025","7,841","1,787,284"
德國,我的袋鼠室友,2021/04/23,1,11,970,863,"187,411"
美國,藥命交錯,2021/04/21,1,48,"5,271","16,615","3,774,776"
日本,名偵探柯南 緋色的彈丸,2021/04/16,1,21,"1,155","275,919","65,428,451"
日本,跟著奈良美智去旅行 經典重映,2021/04/16,1,4,680,"1,212","261,463"
美國,真人快打,2021/04/08,2,28,"3,080","122,809","29,994,451"
美國,無名弒,2021/04/01,2,41,"4,510","104,808","24,561,353"
美國,哥吉拉大戰金剛,2021/03/24,4,197,"20,899","1,399,768","357,970,735"
美國,游牧人生,2021/03/19,2,202,"10,880","71,796","16,873,457"
美國,老娘演很大,2021/03/19,1,6,960,"2,993","697,082"
日本,太陽不會動,2021/03/19,1,4,640,"3,235","707,907"
英國,波麗萊多里鬼屋,2021/03/12,1,9,"1,440","22,450","5,267,700"
南韓,今天決定我愛你,2021/03/12,1,4,640,"13,554","3,124,013"
美國,尋龍使者：拉雅,2021/03/05,1,488,"24,400","251,527","60,569,174"
英國,噪反,2021/03/05,2,17,"2,170","72,770","17,355,051"
中華民國,角頭－浪流連,2021/02/05,1,10,"1,600","683,690","161,762,315"
美國,靈魂急轉彎,2020/12/25,1,7,"1,120","768,210","184,659,026"
匈牙利,怵目驚魂28天,2020/12/11,1,0,0,"1,315","305,660"
中華民國,醬狗,2020/11/02,11,246,"55,380",755,"169,984"
法國,雙面薇若妮卡 經典數位修復,2016/07/16,1,44,"3,940","1,007","197,078"
阿根廷,革命前夕的摩托車日記,2005/02/25,1,9,"1,755","1,899","411,134"
西班牙,我的母親 經典數位修復,2000/03/11,1,2,500,"2,015","431,639"
國別地區,中文片名,上映日期,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
美國,靈魂急轉彎,2020/12/25,97,"178,697","42,907,723","264,869","63,564,768"
美國,真愛鄰距離,2020/12/24,58,"2,060","461,903","5,500","1,248,291"
英國,來者弒客,2020/12/24,33,"1,211","270,444","3,697","841,123"
英國,愛是您·愛是我,2020/12/24,14,"1,000","226,096","2,670","640,199"
英國,生為女人,2020/12/24,9,321,"62,495",683,"136,801"
美國,一家之煮,2020/12/24,17,295,"61,980",695,"150,439"
越南,坑爹大作戰,2020/12/24,3,19,"4,205",111,"24,630"
美國,瑰麗卡萊爾：浮華紐約,2020/12/24,3,9,"1,975",35,"7,770"
日本,魔睡,2020/12/24,3,8,"1,535",27,"5,145"
中華民國,腿,2020/12/24,62,"11,839","2,752,602","27,082","6,270,944"
法國,85年的夏天,2020/12/18,11,450,"102,075","2,416","536,387"
日本,順其自然的日子,2020/12/18,17,181,"42,056","1,419","340,504"
義大利,鬼巢,2020/12/18,15,128,"29,300","3,168","735,132"
美國,高校棋蹟,2020/12/18,6,83,"17,815","1,249","284,929"
哥倫比亞,總是有個人在愛你,2020/12/18,7,80,"16,140",895,"180,415"
日本,手塚治虫迷幻少女,2020/12/18,4,37,"7,765",513,"108,930"
南韓,說唱藝人：希望之聲,2020/12/18,3,28,"6,885",494,"112,869"
美國,戀愛進行弒,2020/12/18,1,3,720,51,"11,435"
美國,神力女超人1984,2020/12/17,99,"180,825","45,871,411","889,907","226,105,230"
日本,新解釋．三國志,2020/12/11,41,"3,008","773,737","32,756","7,885,429"
日本,信用詐欺師JP:公主篇,2020/12/11,30,"1,523","362,711","22,812","5,422,654"
美國,求婚好意外,2020/12/11,49,"1,330","312,028","25,665","5,950,075"
南韓,喬瑟與老虎、魚,2020/12/11,3,48,"10,200","3,524","815,768"
匈牙利,怵目驚魂28天,2020/12/11,1,19,"4,735","1,315","305,660"
越南,人性爆走課,2020/12/11,1,7,"1,770",691,"154,726"
美國,再見街貓BOB,2020/12/10,5,222,"52,565","10,617","2,524,512"
美國,魔物獵人,2020/12/04,92,"19,190","4,441,573","414,016","98,555,760"
中華民國,親愛的殺手,2020/12/04,13,412,"95,749","27,429","6,370,649"
日本,約會大作戰 赤黑新章：紅或白,2020/12/04,9,39,"6,538","1,700","271,573"
南韓,瑜珈怨,2020/12/04,1,17,"3,655","7,121","1,677,660"
波蘭,只有悲傷才是美麗的,2020/12/04,1,13,"2,880","1,367","284,355"
美國,古魯家族：新石代,2020/11/27,34,"1,260","284,279","74,538","16,854,634"
日本,尋找小魔女Doremi,2020/11/27,14,462,"108,084","59,024","13,961,060"
中華民國,十二夜2：回到第零天,2020/11/27,11,363,"85,498","16,605","3,719,034"
伊朗,緝毒風暴,2020/11/27,1,19,"3,950","2,249","512,500"
中華民國,同學麥娜絲,2020/11/20,41,"2,031","471,507","190,173","44,390,789"
日本,名偵探柯南：紅之校外旅行 鮮紅篇&戀紅篇,2020/11/20,18,"1,348","335,335","102,866","24,519,277"
馬來西亞,你是豬,2020/11/20,1,24,"5,980","8,135","1,867,868"
美國,我的媽媽開GAYBAR,2020/11/13,2,100,"15,720","1,747","382,433"
美國,祕密：夢想的力量,2020/11/13,1,31,"6,820","7,281","1,675,122"
美國,愛麗絲與夢幻島,2020/11/12,3,244,"15,460","21,851","5,051,110"
中華民國,孤味,2020/11/06,96,"16,547","3,837,622","812,953","188,029,518"
日本,GIVEN~被贈與的未來 劇場版,2020/11/06,4,77,"19,386","18,817","4,706,032"
南韓,綠洲：數位經典版,2020/11/06,2,38,"8,950","4,582","1,030,665"
南韓,紙花,2020/11/06,1,7,"1,050","1,329","267,803"
日本,鬼滅之刃劇場版 無限列車篇,2020/10/30,89,"57,087","16,793,059","2,486,321","598,345,639"
美國,入魔,2020/10/30,5,356,"29,200","11,286","2,429,683"
香港,聖荷西謀殺案,2020/10/30,4,159,"16,130","2,241","430,016"
西班牙,玩美女人 經典數位修復,2020/10/30,1,50,"10,560",688,"144,040"
西班牙,破碎的擁抱 經典數位修復,2020/10/30,1,46,"9,375",549,"113,386"
西班牙,悄悄告訴她 經典數位修復,2020/10/30,1,40,"8,640",847,"180,920"
西班牙,壞教慾 經典數位修復,2020/10/30,1,22,"4,740",686,"146,333"
中華民國,親愛的房客,2020/10/23,21,"1,187","271,399","161,722","38,427,469"
法國,藥頭大媽,2020/10/16,2,89,"13,630","2,008","404,808"
美國,奪命守門人,2020/10/16,4,108,"10,260","24,230","5,172,160"
美國,地下弒的秘密,2020/10/16,1,109,"9,490","1,735","366,744"
日本,看不見的目擊者,2020/10/16,1,34,"5,260","16,028","3,631,614"
中華民國,無聲,2020/10/15,1,15,"3,460","209,779","49,898,035"
美國,倒數反擊,2020/10/08,5,875,"64,585","200,912","47,106,143"
南韓,無價之保,2020/10/08,7,587,"48,815","31,036","7,096,737"
美國,愛情列車長,2020/10/08,2,29,"2,830","1,441","262,242"
中華民國,刻在你心底的名字,2020/09/30,10,400,"100,261","439,345","103,200,596"
美國,阿公當家,2020/09/30,4,376,"24,120","75,520","17,111,731"
日本,紫羅蘭永恆花園電影版,2020/09/30,1,66,"16,259","108,818","27,083,538"
法國,森林特攻隊：大腳丫家族,2020/09/30,2,72,"8,120","25,042","5,137,584"
中國大陸,急先鋒,2020/09/30,1,20,"2,110","21,959","4,846,741"
日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,2,59,"11,750","158,540","37,208,690"
巴西,殺戮荒村,2020/09/25,1,36,"5,580","3,756","864,847"
日本,太陽之家,2020/09/25,1,10,"1,400",866,"173,343"
中華民國,消失的情人節,2020/09/18,8,376,"85,355","137,678","32,085,910"
英國,皮諾丘的奇幻旅程,2020/09/18,3,73,"4,780","7,736","1,631,393"
法國,寂寞調香師,2020/09/18,1,22,"1,920","1,624","303,345"
中華民國,海霧,2020/09/17,1,68,"7,580","51,305","11,502,988"
香港,麥路人,2020/09/17,1,13,"1,820","18,450","3,922,036"
巴西,中央車站:數位修復版,2020/09/11,1,48,"5,450","6,944","1,529,130"
美國,花木蘭,2020/09/04,3,179,"11,825","312,912","72,351,100"
